,aic,dic,waic,samples
0,-385.8156301382036,-433.36121661245545,-9.548436869077932,500.0
1,-385.67940146583527,-434.08965201881216,-19.753169560345953,511.0
2,-385.305482752333,-432.6854080222822,100.42583373072068,545.0
3,-385.4098739176586,-431.977419009124,96.65785146872463,601.0
4,-384.82936748268816,-433.64848778925716,-30.620648886431923,680.0
5,-384.93673769082403,-433.7400437077503,-18.79199140591726,782.0
6,-384.9834820204845,-434.1661921284061,-58.46149920919237,906.0
7,-385.97084241639755,-434.0115143492826,-37.61082908877711,1053.0
8,-385.18309760036493,-434.1200502833292,-33.55291762847071,1222.0
9,-385.67865439390704,-434.22467286494276,-28.93139358421405,1414.0
10,-385.492902581715,-433.3108586195135,13.547583535418028,1629.0
11,-385.5158815540739,-433.68046511278834,-13.880390106553307,1866.0
12,-385.4278998913333,-434.06407542616137,-30.154652789120235,2126.0
13,-385.6565854083444,-433.66420993592095,-28.380609275688926,2409.0
14,-385.37764497473717,-433.03680686614666,-23.59262440703941,2714.0
15,-385.6899280455632,-433.4178436380785,-21.934643562592328,3041.0
16,-385.8206777978451,-434.18329612989953,-12.517637816618958,3391.0
17,-385.9171326966023,-433.50189192151834,17.83916464055875,3764.0
18,-385.66444413063726,-434.15953521185446,-6.090288424189737,4159.0
19,-385.98744830613043,-433.60317575056104,26.63219166494673,4577.0
20,-385.86303259100146,-433.5057218802854,14.826335998715308,5018.0
21,-385.5563908202354,-433.71505347910073,-4.5302931515006435,5481.0
22,-385.819366119581,-433.71184645164584,-14.580396634249553,5967.0
23,-385.5935366203821,-433.71674786984187,-40.87905803485745,6475.0
24,-385.36075430267783,-433.5909344655116,-36.28301751404899,7006.0
25,-385.5121942738029,-433.5288650000976,-8.253817900277909,7560.0
26,-385.63258058654554,-433.97686276763216,-46.975074518634585,8136.0
27,-385.4248017172068,-433.50275064770653,-12.65054914302442,8734.0
28,-385.7061773023622,-433.7048022313454,-5.987956139555479,9356.0
29,-385.53959611959965,-433.5859083617772,-23.31472015489146,10000.0
